employee_id,first_name,middle_name,last_name,preferred_name,email,phone,mobile_phone,date_of_birth,age,gender,race,ethnicity,veteran_status,disability_status,marital_status,hire_date,original_hire_date,tenure_years,tenure_months,employment_status,employment_type,job_title,job_code,job_family,job_sub_family,job_function,job_level,salary,hourly_rate,pay_frequency,pay_type,pay_grade,currency,fte,standard_hours,overtime_eligible,department,division,business_unit,cost_center,location,city,state,country,country_code,zip_code,office,work_location_type,remote_status,manager_id,manager_name,manager_email,reports_count,span_of_control,org_level,dotted_line_manager_id,performance_rating,performance_score,last_review_date,next_review_date,promotion_eligible,flight_risk,regrettable_loss_risk,skill_level,benefits_status,pto_balance,sick_balance,leave_accrual_rate,insurance_plan,retirement_plan,401k_contribution_pct,work_authorization,visa_type,visa_expiration,i9_status,background_check_status,drug_test_status,employee_number,badge_id,start_date,termination_date,termination_reason,rehire_eligible,last_promotion_date,time_in_role_months,previous_title,education_level
E300000,Mary,B,Brown,Mary,mary.brown@financecorp.com,(295) 697-1137,(997) 236-3233,1984-09-05,39,Female,Asian,Hispanic,Not a Veteran,No,Single,2019-08-01,2019-08-01,6,79,Active,Full-time,Credit Analyst,FIN5077,Finance,Investment Banking,Credit,IC2,63572,30.56,Biweekly,Salary,G9,USD,1.0,40,No,Finance,Corporate Finance,Investment Services,CC-FIN-469,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,On-site,,,,0,0,6,,Needs Improvement,4,2025-05-11,2026-06-25,No,Medium,Medium,Intermediate,Enrolled,89,46,7.33 hours per pay period,HDHP Plan,401k,5,US Citizen,,,Verified,Cleared,Passed,EN300000,BADGE3000,2019-08-01,,,Yes,2021-12-15,46,Associate,PhD
E300001,Michael,A,Davis,Michael,michael.davis@financecorp.com,(598) 294-7173,(607) 634-9388,1977-10-02,56,Male,Hispanic,Not Hispanic,Not a Veteran,No,Single,2023-07-02,2023-07-02,2,31,Active,Full-time,Audit Manager,FIN1887,Finance,Accounting,Audit,M2,95960,46.13,Biweekly,Salary,G10,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-132,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,On-site,,,,1,6,7,,Exceeds Expectations,5,2025-08-24,2026-03-21,Yes,Medium,Low,Intermediate,Enrolled,114,49,7.33 hours per pay period,HDHP Plan,401k,10,US Citizen,,,Verified,Cleared,Passed,EN300001,BADGE3001,2023-07-02,,,Yes,,4,,MBA
E300002,Robert,R,Jones,Robert,robert.jones@financecorp.com,(511) 251-4681,(424) 289-4850,1977-07-03,36,Female,Hispanic,Hispanic,Not a Veteran,No,Married,2022-12-07,2022-12-07,3,38,Active,Full-time,Senior Accountant,FIN5175,Finance,Accounting,Senior,IC5,96947,46.61,Biweekly,Salary,G9,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-954,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,On-site,,,,0,0,3,,Needs Improvement,3,2025-12-25,2026-06-24,No,Medium,Low,Expert,Enrolled,155,53,7.33 hours per pay period,HDHP Plan,401k,4,US Citizen,,,Verified,Cleared,Passed,EN300002,BADGE3002,2022-12-07,,,Yes,2026-06-14,28,,Master's
E300003,Jennifer,C,Wilson,Jennifer,jennifer.wilson@financecorp.com,(349) 801-3227,(448) 366-2867,1989-08-15,36,Female,Black,Not Hispanic,Not a Veteran,No,Single,2024-02-29,2024-02-29,1,23,Active,Full-time,Quantitative Analyst,FIN2993,Finance,Investment Banking,Quantitative,IC5,85790,41.25,Biweekly,Salary,G11,USD,1.0,40,No,Finance,Corporate Finance,Investment Services,CC-FIN-258,"Chicago, IL",Chicago,IL,United States,USA,60601,Chicago Financial District,Office,On-site,,,,0,0,6,,Needs Improvement,4,2025-04-12,2026-05-25,Yes,Medium,Medium,Expert,Enrolled,193,79,7.33 hours per pay period,HDHP Plan,401k,10,US Citizen,,,Verified,Cleared,Passed,EN300003,BADGE3003,2024-02-29,,,Yes,,20,,Bachelor's
E300004,John,,Wilson,John,john.wilson@financecorp.com,(969) 483-3928,(463) 841-8059,1987-12-27,28,Male,Asian,Hispanic,Not a Veteran,No,Married,2025-11-19,2025-11-19,0,2,Active,Full-time,Portfolio Manager,FIN7048,Finance,Accounting,Portfolio,E1,174140,83.72,Biweekly,Salary,G7,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-757,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,Hybrid,,,,0,9,7,,Exceeds Expectations,2,2025-12-11,2026-04-09,No,Medium,Medium,Advanced,Enrolled,167,32,7.33 hours per pay period,HDHP Plan,401k,4,US Citizen,,,Verified,Cleared,Passed,EN300004,BADGE3004,2025-11-19,,,Yes,,1,,Bachelor's
E300005,Elizabeth,,Smith,Elizabeth,elizabeth.smith@financecorp.com,(355) 336-2970,(919) 963-6261,1995-11-08,33,Female,White,Not Hispanic,Not a Veteran,No,Married,2018-05-30,2018-05-30,7,93,Active,Full-time,Client Services Rep,FIN5533,Finance,Accounting,Client,M2,91180,43.84,Biweekly,Salary,G8,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-973,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,Hybrid,,,,0,0,4,,Meets Expectations,4,2025-02-20,2026-03-31,No,Low,Medium,Intermediate,Enrolled,112,68,7.33 hours per pay period,HDHP Plan,401k,5,US Citizen,,,Verified,Cleared,Passed,EN300005,BADGE3005,2018-05-30,,,Yes,2022-05-08,92,Analyst,Bachelor's
E300006,Patricia,,Wilson,Patricia,patricia.wilson@financecorp.com,(314) 219-6272,(448) 611-2672,1999-04-10,50,Female,Asian,Hispanic,Not a Veteran,No,Divorced,2021-01-04,2021-01-04,5,62,Active,Full-time,Quantitative Analyst,FIN3454,Finance,Investment Banking,Quantitative,M1,86885,41.77,Biweekly,Salary,G11,USD,1.0,40,No,Finance,Corporate Finance,Investment Services,CC-FIN-713,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,On-site,E300003,Richard Thompson,richard.thompson@financecorp.com,0,0,5,,Exceeds Expectations,2,2025-06-02,2026-04-25,Yes,Low,High,Advanced,Enrolled,151,48,7.33 hours per pay period,HDHP Plan,401k,5,US Citizen,,,Verified,Cleared,Passed,EN300006,BADGE3006,2021-01-04,,,Yes,2022-04-06,41,Analyst,Bachelor's
E300007,Robert,,Williams,Robert,robert.williams@financecorp.com,(709) 224-5660,(642) 520-4394,1982-07-24,50,Female,Asian,Not Hispanic,Not a Veteran,No,Married,2020-09-24,2020-09-24,5,65,Active,Full-time,Credit Analyst,FIN5689,Finance,Investment Banking,Credit,IC5,74862,35.99,Biweekly,Salary,G7,USD,1.0,40,No,Finance,Corporate Finance,Investment Services,CC-FIN-627,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,Hybrid,E300000,Richard Thompson,richard.thompson@financecorp.com,0,0,5,,Meets Expectations,3,2025-10-10,2026-07-19,Yes,High,Low,Advanced,Enrolled,105,56,7.33 hours per pay period,HDHP Plan,401k,10,US Citizen,,,Verified,Cleared,Passed,EN300007,BADGE3007,2020-09-24,,,Yes,2024-01-15,49,Analyst,MBA
E300008,Robert,A,Wilson,Robert,robert.wilson@financecorp.com,(931) 957-3145,(823) 745-5363,1995-02-02,34,Male,Black,Not Hispanic,Not a Veteran,No,Divorced,2019-01-28,2019-01-28,7,85,Active,Full-time,Trader,FIN9821,Finance,Accounting,Trader,M1,70405,33.85,Biweekly,Salary,G9,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-404,"Boston, MA",Boston,MA,United States,USA,02101,Boston Financial District,Office,On-site,E300003,Richard Thompson,richard.thompson@financecorp.com,0,0,5,,Needs Improvement,3,2025-08-01,2026-06-13,Yes,Low,High,Advanced,Enrolled,141,45,7.33 hours per pay period,PPO Plan,401k,6,US Citizen,,,Verified,Cleared,Passed,EN300008,BADGE3008,2019-01-28,,,Yes,2021-11-08,72,Associate,MBA
E300009,Linda,J,Miller,Linda,linda.miller@financecorp.com,(877) 313-8011,(519) 599-4053,1980-08-28,52,Male,White,Not Hispanic,Not a Veteran,No,Single,2022-07-25,2022-07-25,3,43,Active,Full-time,Trader,FIN1772,Finance,Accounting,Trader,M1,72896,35.05,Biweekly,Salary,G9,USD,1.0,40,No,Operations,Corporate Finance,Investment Services,CC-FIN-986,"New York, NY",New York,NY,United States,USA,10001,New York Financial District,Office,Hybrid,E300002,Richard Thompson,richard.thompson@financecorp.com,0,0,5,,Needs Improvement,5,2026-01-08,2026-07-01,No,Low,Low,Advanced,Enrolled,153,42,7.33 hours per pay period,HDHP Plan,401k,10,US Citizen,,,Verified,Cleared,Passed,EN300009,BADGE3009,2022-07-25,,,Yes,2026-01-18,14,,Bachelor's
